Table 1
Id,name,ThumbnailImage,species_id,type,generation_id,type__001,type__002,description,generation
1,Bulbasaur,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/001.png,1,"grass,poison",1,grass,poison,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger.",1
2,Ivysaur,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/002.png,2,"grass,poison",1,grass,poison,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon.",1
3,Venusaur,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png,3,"grass,poison",1,grass,poison,"There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people.",1
4,Charmander,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/004.png,4,fire,1,fire,,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely.",1
5,Charmeleon,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/005.png,5,fire,1,fire,,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color.",1
6,Charizard,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png,6,"fire,flying",1,fire,flying,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself.",1
7,Squirtle,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/007.png,7,water,1,water,,"Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokémon to swim at high speeds.",1
8,Wartortle,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/008.png,8,water,1,water,,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler.",1
9,Blastoise,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png,9,water,1,water,,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet.",1
10,Caterpie,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/010.png,10,bug,1,bug,,"Caterpie has a voracious appetite. It can devour leaves
bigger than its body right before your eyes. From its antenna,
this Pokémon releases a terrifically strong odor.",1
11,Metapod,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/011.png,11,bug,1,bug,,"The shell covering this Pokémon’s body is as hard as an
iron slab. Metapod does not move very much.
It stays still because it is preparing its soft innards for
evolution inside the hard shell.",1
12,Butterfree,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/012.png,12,"bug,flying",1,bug,flying,"Butterfree has a superior ability to search for delicious honey
from flowers. It can even search out, extract, and carry honey
from flowers that are blooming over six miles from its nest.",1
13,Weedle,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/013.png,13,"bug,poison",1,bug,poison,"Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose).",1
14,Kakuna,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/014.png,14,"bug,poison",1,bug,poison,"Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch.",1
